	b		Frecuencia absoluta
	---		---------------------
	0		914
	1		1675
	2		2035
	3		2097
	4		1860
	5		1481
	6		1186
	7		906
	8		699
	9		582
	10		450
	11		367
	12		345
	13		307
	14		311
	15		299
	16		282
	17		288
	18		220
	19		219
	20		235
	21		223
	22		207
	23		189
	24		212
	25		193
	26		194
	27		171
	28		215
	29		178
	30		187
	31		180
	32		218
	33		166
	34		195
	35		194
	36		195
	37		189
	38		188
	39		177
	40		189
	41		170
	42		188
	43		192
	44		177
	45		186
	46		186
	47		176
	48		206
	49		194
	50		194
	51		210
	52		183
	53		186
	54		192
	55		199
	56		216
	57		217
	58		184
	59		188
	60		191
	61		200
	62		210
	63		203
	64		238
	65		239
	66		219
	67		242
	68		213
	69		218
	70		221
	71		209
	72		231
	73		226
	74		244
	75		229
	76		228
	77		242
	78		260
	79		229
	80		221
	81		225
	82		235
	83		239
	84		238
	85		254
	86		213
	87		238
	88		300
	89		270
	90		288
	91		268
	92		299
	93		326
	94		341
	95		357
	96		427
	97		395
	98		437
	99		469
	100		417
	101		408
	102		394
	103		397
	104		319
	105		312
	106		288
	107		277
	108		246
	109		243
	110		211
	111		225
	112		222
	113		226
	114		218
	115		212
	116		203
	117		220
	118		227
	119		214
	120		214
	121		229
	122		202
	123		226
	124		217
	125		220
	126		228
	127		264
	128		231
	129		221
	130		226
	131		242
	132		240
	133		228
	134		230
	135		209
	136		233
	137		250
	138		261
	139		263
	140		271
	141		268
	142		256
	143		255
	144		263
	145		258
	146		258
	147		239
	148		264
	149		228
	150		235
	151		240
	152		235
	153		223
	154		221
	155		187
	156		205
	157		230
	158		200
	159		217
	160		173
	161		188
	162		201
	163		198
	164		179
	165		183
	166		156
	167		173
	168		181
	169		171
	170		182
	171		176
	172		159
	173		138
	174		138
	175		143
	176		117
	177		148
	178		140
	179		107
	180		135
	181		103
	182		129
	183		126
	184		116
	185		124
	186		118
	187		113
	188		103
	189		94
	190		102
	191		110
	192		91
	193		96
	194		96
	195		89
	196		106
	197		94
	198		91
	199		69
	200		87
	201		94
	202		81
	203		79
	204		57
	205		80
	206		77
	207		84
	208		81
	209		86
	210		79
	211		73
	212		78
	213		71
	214		74
	215		76
	216		79
	217		99
	218		81
	219		72
	220		69
	221		76
	222		64
	223		59
	224		52
	225		75
	226		73
	227		67
	228		60
	229		78
	230		68
	231		67
	232		67
	233		69
	234		63
	235		66
	236		53
	237		66
	238		46
	239		63
	240		68
	241		40
	242		62
	243		62
	244		82
	245		65
	246		65
	247		53
	248		65
	249		73
	250		62
	251		87
	252		72
	253		139
	254		173
	255		527
