	b		Frecuencia absoluta
	---		---------------------
	0		5824
	1		684
	2		161
	3		50
	4		31
	5		22
	6		27
	7		11
	8		16
	9		24
	10		38
	11		31
	12		25
	13		28
	14		29
	15		23
	16		51
	17		26
	18		16
	19		12
	20		33
	21		17
	22		99
	23		48
	24		43
	25		36
	26		46
	27		136
	28		209
	29		292
	30		555
	31		732
	32		547
	33		267
	34		148
	35		92
	36		61
	37		55
	38		61
	39		75
	40		57
	41		49
	42		59
	43		59
	44		56
	45		54
	46		67
	47		62
	48		76
	49		138
	50		115
	51		146
	52		186
	53		98
	54		38
	55		41
	56		44
	57		62
	58		151
	59		55
	60		58
	61		38
	62		51
	63		45
	64		82
	65		42
	66		35
	67		47
	68		34
	69		46
	70		37
	71		37
	72		51
	73		46
	74		34
	75		33
	76		52
	77		51
	78		42
	79		49
	80		47
	81		44
	82		46
	83		39
	84		48
	85		57
	86		57
	87		46
	88		56
	89		45
	90		58
	91		46
	92		47
	93		46
	94		56
	95		52
	96		76
	97		58
	98		53
	99		47
	100		41
	101		44
	102		48
	103		36
	104		54
	105		45
	106		46
	107		52
	108		52
	109		46
	110		45
	111		58
	112		58
	113		51
	114		40
	115		57
	116		52
	117		42
	118		38
	119		49
	120		43
	121		44
	122		50
	123		35
	124		42
	125		41
	126		49
	127		47
	128		83
	129		65
	130		47
	131		37
	132		33
	133		40
	134		46
	135		34
	136		39
	137		35
	138		41
	139		49
	140		43
	141		35
	142		39
	143		44
	144		44
	145		34
	146		63
	147		35
	148		33
	149		43
	150		34
	151		33
	152		47
	153		30
	154		42
	155		31
	156		36
	157		30
	158		31
	159		36
	160		52
	161		24
	162		34
	163		27
	164		29
	165		33
	166		35
	167		22
	168		31
	169		34
	170		42
	171		74
	172		82
	173		184
	174		58
	175		43
	176		56
	177		46
	178		55
	179		57
	180		62
	181		70
	182		72
	183		78
	184		87
	185		89
	186		77
	187		111
	188		134
	189		138
	190		157
	191		155
	192		216
	193		194
	194		168
	195		177
	196		212
	197		181
	198		186
	199		170
	200		162
	201		150
	202		151
	203		133
	204		134
	205		111
	206		106
	207		90
	208		70
	209		39
	210		49
	211		37
	212		43
	213		49
	214		53
	215		49
	216		56
	217		69
	218		61
	219		61
	220		71
	221		69
	222		78
	223		77
	224		92
	225		98
	226		85
	227		88
	228		86
	229		101
	230		96
	231		109
	232		106
	233		122
	234		117
	235		118
	236		131
	237		118
	238		97
	239		127
	240		153
	241		137
	242		136
	243		142
	244		149
	245		151
	246		170
	247		196
	248		206
	249		253
	250		393
	251		257
	252		218
	253		356
	254		383
	255		37980
