	g		Frecuencia absoluta
	---		---------------------
	0		208
	1		346
	2		229
	3		228
	4		230
	5		225
	6		317
	7		384
	8		403
	9		396
	10		429
	11		378
	12		347
	13		335
	14		354
	15		340
	16		360
	17		420
	18		401
	19		412
	20		389
	21		359
	22		363
	23		350
	24		372
	25		422
	26		453
	27		457
	28		490
	29		501
	30		525
	31		482
	32		457
	33		416
	34		402
	35		383
	36		354
	37		364
	38		354
	39		288
	40		293
	41		304
	42		271
	43		288
	44		355
	45		343
	46		356
	47		314
	48		345
	49		279
	50		287
	51		274
	52		280
	53		270
	54		254
	55		282
	56		237
	57		231
	58		211
	59		237
	60		199
	61		221
	62		215
	63		236
	64		209
	65		172
	66		183
	67		173
	68		164
	69		172
	70		190
	71		161
	72		165
	73		199
	74		194
	75		181
	76		169
	77		172
	78		191
	79		193
	80		191
	81		184
	82		186
	83		185
	84		174
	85		180
	86		189
	87		185
	88		181
	89		186
	90		175
	91		210
	92		155
	93		176
	94		164
	95		179
	96		206
	97		183
	98		184
	99		221
	100		191
	101		202
	102		202
	103		200
	104		207
	105		192
	106		180
	107		195
	108		211
	109		214
	110		187
	111		203
	112		210
	113		195
	114		207
	115		182
	116		252
	117		225
	118		213
	119		228
	120		220
	121		264
	122		238
	123		217
	124		217
	125		264
	126		227
	127		245
	128		246
	129		259
	130		242
	131		219
	132		256
	133		280
	134		217
	135		241
	136		256
	137		289
	138		256
	139		282
	140		281
	141		263
	142		254
	143		293
	144		260
	145		251
	146		268
	147		275
	148		275
	149		269
	150		262
	151		289
	152		311
	153		287
	154		263
	155		321
	156		306
	157		302
	158		342
	159		315
	160		335
	161		345
	162		357
	163		364
	164		343
	165		369
	166		338
	167		334
	168		318
	169		293
	170		256
	171		275
	172		260
	173		248
	174		265
	175		260
	176		298
	177		257
	178		267
	179		266
	180		247
	181		245
	182		204
	183		209
	184		213
	185		225
	186		206
	187		225
	188		228
	189		235
	190		190
	191		227
	192		200
	193		218
	194		191
	195		187
	196		184
	197		162
	198		175
	199		172
	200		187
	201		152
	202		147
	203		126
	204		146
	205		135
	206		115
	207		125
	208		141
	209		123
	210		129
	211		123
	212		105
	213		128
	214		125
	215		130
	216		104
	217		122
	218		120
	219		110
	220		118
	221		124
	222		103
	223		105
	224		120
	225		120
	226		106
	227		86
	228		105
	229		115
	230		106
	231		95
	232		84
	233		93
	234		93
	235		99
	236		87
	237		71
	238		92
	239		91
	240		84
	241		87
	242		97
	243		82
	244		97
	245		85
	246		92
	247		76
	248		81
	249		91
	250		72
	251		110
	252		116
	253		160
	254		182
	255		486
