	r		Frecuencia absoluta
	---		---------------------
	0		5819
	1		773
	2		44
	3		30
	4		21
	5		13
	6		11
	7		15
	8		14
	9		13
	10		42
	11		27
	12		22
	13		18
	14		21
	15		19
	16		44
	17		18
	18		15
	19		15
	20		16
	21		18
	22		21
	23		78
	24		36
	25		41
	26		19
	27		34
	28		41
	29		44
	30		96
	31		73
	32		41
	33		33
	34		29
	35		26
	36		36
	37		23
	38		31
	39		29
	40		32
	41		33
	42		45
	43		33
	44		33
	45		29
	46		25
	47		31
	48		39
	49		22
	50		20
	51		24
	52		30
	53		22
	54		27
	55		27
	56		25
	57		49
	58		129
	59		48
	60		27
	61		25
	62		27
	63		24
	64		57
	65		27
	66		14
	67		27
	68		15
	69		18
	70		37
	71		19
	72		21
	73		24
	74		22
	75		27
	76		18
	77		23
	78		20
	79		29
	80		34
	81		19
	82		21
	83		30
	84		18
	85		28
	86		23
	87		23
	88		20
	89		24
	90		21
	91		23
	92		21
	93		31
	94		24
	95		29
	96		53
	97		21
	98		17
	99		20
	100		17
	101		15
	102		21
	103		21
	104		15
	105		24
	106		30
	107		28
	108		24
	109		22
	110		26
	111		25
	112		34
	113		17
	114		21
	115		26
	116		18
	117		23
	118		22
	119		23
	120		25
	121		19
	122		18
	123		15
	124		25
	125		26
	126		19
	127		28
	128		61
	129		32
	130		15
	131		14
	132		16
	133		23
	134		18
	135		12
	136		17
	137		23
	138		20
	139		23
	140		28
	141		30
	142		27
	143		37
	144		39
	145		22
	146		23
	147		17
	148		23
	149		20
	150		16
	151		19
	152		20
	153		22
	154		17
	155		14
	156		20
	157		20
	158		18
	159		16
	160		43
	161		21
	162		18
	163		14
	164		25
	165		23
	166		46
	167		95
	168		186
	169		60
	170		51
	171		71
	172		44
	173		37
	174		52
	175		53
	176		65
	177		56
	178		76
	179		67
	180		76
	181		81
	182		85
	183		103
	184		112
	185		120
	186		142
	187		143
	188		144
	189		186
	190		324
	191		352
	192		291
	193		219
	194		198
	195		207
	196		181
	197		166
	198		166
	199		162
	200		143
	201		140
	202		125
	203		96
	204		101
	205		59
	206		66
	207		60
	208		65
	209		57
	210		55
	211		55
	212		61
	213		61
	214		63
	215		63
	216		76
	217		60
	218		79
	219		82
	220		84
	221		86
	222		88
	223		99
	224		101
	225		96
	226		92
	227		107
	228		93
	229		103
	230		98
	231		113
	232		110
	233		116
	234		113
	235		119
	236		120
	237		118
	238		112
	239		143
	240		169
	241		146
	242		145
	243		141
	244		173
	245		206
	246		316
	247		653
	248		818
	249		966
	250		1059
	251		783
	252		815
	253		756
	254		1080
	255		38240
